method,x0,y0,x,y,converged,iterations,normF
Newton-Jacobian,0.5,0.5,1.0,-8.138725338115805e-17,True,7,1.1102230246251565e-16
Newton-Jacobian (damped),0.5,0.5,1.0,-8.138725338115805e-17,True,7,1.1102230246251565e-16
Newton-Jacobian,1.5,0.5,1.0,-8.579805172253171e-17,True,7,1.1102230246251565e-16
Newton-Jacobian (damped),1.5,0.5,1.0,-8.579805172253171e-17,True,7,1.1102230246251565e-16
Newton-Jacobian,-0.5,0.5,1.0,6.987691471998549e-16,True,6,6.661338147750939e-16
Newton-Jacobian (damped),-0.5,0.5,1.0,6.987691471998549e-16,True,6,6.661338147750939e-16
Newton-Jacobian,2.0,-1.0,1.0,-6.657235596610472e-17,True,7,1.1102230246251565e-16
Newton-Jacobian (damped),2.0,-1.0,1.0,-6.657235596610472e-17,True,7,1.1102230246251565e-16
Newton-Jacobian,-2.0,2.0,1.0,-8.581445636843987e-17,True,11,1.1102230246251565e-16
Newton-Jacobian (damped),-2.0,2.0,1.0,-8.514178482250562e-17,True,11,1.1102230246251565e-16
"fsolve (SciPy) from (0.5,0.5)",0.5,0.5,1.0,-1.579246225282676e-17,True,16,0.0
