method,x0,y0,z0,x,y,z,converged,iterations,normF,evals
Newton-3D (damped),1.0,2.0,2.0,1.0325480279140526,2.0577682203635352,2.910138783345875,True,6.0,2.8435583831733384e-15,
Newton-3D (pure),1.0,2.0,2.0,1.0325480279140526,2.0577682203635352,2.910138783345875,True,6.0,2.8435583831733384e-15,
Newton-3D (damped),0.8,1.8,2.0,0.7305185937349171,1.4030437232199513,4.235598036584789,True,7.0,4.885788676558557e-14,
Newton-3D (pure),0.8,1.8,2.0,0.7305185937349157,1.4030437232199529,4.235598036584786,True,9.0,9.930136612989092e-16,
Newton-3D (damped),1.2,2.2,2.0,1.0325480279140529,2.0577682203635352,2.9101387833458743,True,6.0,1.0175362097255202e-15,
Newton-3D (pure),1.2,2.2,2.0,1.0325480279140529,2.0577682203635352,2.9101387833458743,True,6.0,1.0175362097255202e-15,
Newton-3D (damped),1.0,2.0,2.2,1.0325480279140529,2.0577682203635352,2.9101387833458747,True,6.0,1.0175362097255202e-15,
Newton-3D (pure),1.0,2.0,2.2,1.0325480279140529,2.0577682203635352,2.9101387833458747,True,6.0,1.0175362097255202e-15,
Newton-3D (damped),1.0,2.0,1.8,1.032548027914184,2.057768220363812,2.9101387833453574,True,6.0,4.619258443548754e-13,
Newton-3D (pure),1.0,2.0,1.8,1.032548027914184,2.057768220363812,2.9101387833453574,True,6.0,4.619258443548754e-13,
fsolve,1.0,2.0,2.0,1.0325480279140526,2.0577682203635352,2.910138783345875,True,,2.8435583831733384e-15,13.0
