n,theoretical_2_over_2n_plus_1,numerical_diag,abs_error
0,2.000000000000e+00,2.000000000000e+00,0.000000000000e+00
1,6.666666666667e-01,6.666666666666e-01,2.930988785010e-14
2,4.000000000000e-01,4.000000000000e-01,3.508304757815e-14
3,2.857142857143e-01,2.857142857142e-01,3.669287096386e-14
4,2.222222222222e-01,2.222222222222e-01,3.755329380795e-14
5,1.818181818182e-01,1.818181818181e-01,3.821942762272e-14
6,1.538461538462e-01,1.538461538461e-01,3.835820550080e-14
7,1.333333333333e-01,1.333333333333e-01,3.810840532026e-14
8,1.176470588235e-01,1.176470588235e-01,3.788636071533e-14
9,1.052631578947e-01,1.052631578947e-01,3.763656053479e-14
10,9.523809523810e-02,9.523809523806e-02,3.724798247617e-14
