,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
P0,0.000000000000e+00,0.000000000000e+00,-4.404809850200e-14,0.000000000000e+00,-4.380697193884e-14,-1.387778780781e-17,-4.186234692227e-14,0.000000000000e+00,-4.112552312585e-14,0.000000000000e+00,-4.128121455782e-14
P1,0.000000000000e+00,-2.930988785010e-14,0.000000000000e+00,-4.386768726050e-14,3.469446951954e-18,-4.273664755416e-14,0.000000000000e+00,-4.147723831061e-14,-1.301042606983e-18,-4.124185801896e-14,-1.734723475977e-18
P2,-4.404809850200e-14,2.775557561563e-17,-3.508304757815e-14,0.000000000000e+00,-4.299338662861e-14,0.000000000000e+00,-4.214423948712e-14,0.000000000000e+00,-4.145989107585e-14,1.734723475977e-18,-4.077380794110e-14
P3,0.000000000000e+00,-4.385380947269e-14,0.000000000000e+00,-3.669287096386e-14,-1.387778780781e-17,-4.239317230592e-14,6.938893903907e-18,-4.199158382123e-14,-8.673617379884e-19,-4.105223105899e-14,0.000000000000e+00
P4,-4.380697193884e-14,-3.469446951954e-18,-4.300032552251e-14,0.000000000000e+00,-3.755329380795e-14,0.000000000000e+00,-4.218847493576e-14,-6.938893903907e-18,-4.150434336492e-14,-1.734723475977e-18,-4.031844302865e-14
P5,-1.387778780781e-17,-4.274098436285e-14,6.938893903907e-18,-4.239664175287e-14,1.387778780781e-17,-3.821942762272e-14,-6.938893903907e-18,-4.170275236248e-14,-3.469446951954e-18,-4.079787722933e-14,-8.673617379884e-19
P6,-4.186234692227e-14,3.469446951954e-18,-4.214337212538e-14,6.938893903907e-18,-4.218847493576e-14,-6.938893903907e-18,-3.835820550080e-14,0.000000000000e+00,-4.098110739648e-14,3.469446951954e-18,-4.022997213138e-14
P7,0.000000000000e+00,-4.148070775756e-14,6.938893903907e-18,-4.198941541689e-14,-6.938893903907e-18,-4.169581346858e-14,0.000000000000e+00,-3.810840532026e-14,6.938893903907e-18,-4.043293477807e-14,1.734723475977e-18
P8,-4.112552312585e-14,8.673617379884e-19,-4.145902371411e-14,-8.673617379884e-19,-4.150499388622e-14,3.469446951954e-18,-4.098110739648e-14,6.938893903907e-18,-3.788636071533e-14,0.000000000000e+00,-3.990557884137e-14
P9,0.000000000000e+00,-4.124511062548e-14,1.734723475977e-18,-4.105049633552e-14,-3.469446951954e-18,-4.079852775063e-14,3.469446951954e-18,-4.043293477807e-14,0.000000000000e+00,-3.763656053479e-14,0.000000000000e+00
P10,-4.128121455782e-14,0.000000000000e+00,-4.077163953675e-14,8.673617379884e-19,-4.031670830518e-14,0.000000000000e+00,-4.023170685485e-14,1.734723475977e-18,-3.990557884137e-14,0.000000000000e+00,-3.724798247617e-14
