integral,method,n,I_ref,I_num,rel_error
I1,Gauss-Legendre,4,5216.926477323024,5197.543738347631,0.0037153559782079223
I1,Gauss-Legendre,8,5216.926477323024,5216.926464034538,2.547186772458453e-09
I1,Gauss-Legendre,16,5216.926477323024,5216.926477323021,6.973413987920487e-16
I1,Gauss-Legendre,32,5216.926477323024,5216.926477323021,6.973413987920487e-16
I1,Gauss-Lobatto,4,5216.926477323024,5567.146159083302,0.06713141986620198
I1,Gauss-Lobatto,8,5216.926477323024,5216.927325071613,1.6249962361020014e-07
I1,Gauss-Lobatto,16,5216.926477323024,5216.926477323028,6.973413987920487e-16
I1,Gauss-Lobatto,32,5216.926477323024,5216.926477323017,1.3946827975840974e-15
I1,Gauss-Radau,4,5216.926477323024,,
I1,Gauss-Radau,8,5216.926477323024,,
I1,Gauss-Radau,16,5216.926477323024,,
I1,Gauss-Radau,32,5216.926477323024,,
I1,Fejer-I,4,5216.926477323024,5519.7815838890765,0.058052400754065654
I1,Fejer-I,8,5216.926477323024,5217.41710785281,9.404589693148356e-05
I1,Fejer-I,16,5216.926477323024,5216.9264773944415,1.3689508999686708e-11
I1,Fejer-I,32,5216.926477323024,5216.926477323026,3.4867069939602435e-16
I1,Clenshaw-Curtis,4,5216.926477323024,4814.496764618665,0.07713923407846435
I1,Clenshaw-Curtis,8,5216.926477323024,5216.490739686265,8.352382167027391e-05
I1,Clenshaw-Curtis,16,5216.926477323024,5216.926477300698,4.279584164386803e-12
I1,Clenshaw-Curtis,32,5216.926477323024,5216.926477323024,0.0
I2,Gauss-Legendre,4,0.946083070367183,0.9460830703112557,5.911453716128911e-11
I2,Gauss-Legendre,8,0.946083070367183,0.9460830703671828,2.346988460948296e-16
I2,Gauss-Legendre,16,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I2,Gauss-Legendre,32,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I2,Gauss-Lobatto,4,0.946083070367183,0.94608298546443,8.97413299091303e-08
I2,Gauss-Lobatto,8,0.946083070367183,0.9460830703671828,2.346988460948296e-16
I2,Gauss-Lobatto,16,0.946083070367183,0.946083070367183,0.0
I2,Gauss-Lobatto,32,0.946083070367183,0.9460830703671831,1.173494230474148e-16
I2,Gauss-Radau,4,0.946083070367183,,
I2,Gauss-Radau,8,0.946083070367183,,
I2,Gauss-Radau,16,0.946083070367183,,
I2,Gauss-Radau,32,0.946083070367183,,
