integrand,n,numeric_value,exact_value,abs_error,rel_error
Integral of 1,10,3.141592653589793,2.0,1.1415926535897931,0.5707963267948966
Integral of 1,20,3.141592653589793,2.0,1.1415926535897931,0.5707963267948966
Integral of 1,40,3.141592653589793,2.0,1.1415926535897931,0.5707963267948966
Integral of 1,80,3.141592653589796,2.0,1.1415926535897958,0.5707963267948979
Integral of 1,160,3.141592653589795,2.0,1.141592653589795,0.5707963267948974
Integral of x,10,-1.6653345369377348e-16,0.0,1.6653345369377348e-16,NaN
Integral of x,20,-1.6653345369377348e-16,0.0,1.6653345369377348e-16,NaN
Integral of x,40,-2.3592239273284576e-16,0.0,2.3592239273284576e-16,NaN
Integral of x,80,-2.498001805406602e-16,0.0,2.498001805406602e-16,NaN
Integral of x,160,-2.8102520310824275e-16,0.0,2.8102520310824275e-16,NaN
Integral of x^2,10,1.5707963267948966,0.6666666666666666,0.9041296601282299,1.356194490192345
Integral of x^2,20,1.5707963267948968,0.6666666666666666,0.9041296601282302,1.3561944901923453
Integral of x^2,40,1.5707963267948968,0.6666666666666666,0.9041296601282302,1.3561944901923453
Integral of x^2,80,1.5707963267948966,0.6666666666666666,0.9041296601282299,1.356194490192345
Integral of x^2,160,1.5707963267948972,0.6666666666666666,0.9041296601282306,1.356194490192346
Integral of sqrt(1 - x^2),10,1.9835235375094544,1.5707963267948966,0.41272721071455787,0.2627503029350086
Integral of sqrt(1 - x^2),20,1.995885972708714,1.5707963267948966,0.42508964591381737,0.27062047361747016
Integral of sqrt(1 - x^2),40,1.9989718104970657,1.5707963267948966,0.4281754837021692,0.272584978967854
Integral of sqrt(1 - x^2),80,1.9997429724458355,1.5707963267948966,0.428946645650939,0.27307591591213837
Integral of sqrt(1 - x^2),160,1.9999357443501364,1.5707963267948966,0.4291394175552399,0.27319863831797325
