integrand,n,numeric_value,exact_value,abs_error,rel_error
f₁(x) = 1,10,1.9999999999999998,2.0,2.220446049250313e-16,1.1102230246251565e-16
f₁(x) = 1,20,1.9999999999999996,2.0,4.440892098500626e-16,2.220446049250313e-16
f₁(x) = 1,40,2.0,2.0,0.0,0.0
f₁(x) = 1,80,2.000000000000002,2.0,2.220446049250313e-15,1.1102230246251565e-15
f₁(x) = 1,160,1.999999999999961,2.0,3.907985046680551e-14,1.9539925233402755e-14
f₂(x) = x^2,10,0.666666666666667,0.6666666666666666,3.3306690738754696e-16,4.996003610813204e-16
f₂(x) = x^2,20,0.6666666666666663,0.6666666666666666,3.3306690738754696e-16,4.996003610813204e-16
f₂(x) = x^2,40,0.6666666666666662,0.6666666666666666,4.440892098500626e-16,6.661338147750939e-16
f₂(x) = x^2,80,0.6666666666666687,0.6666666666666666,2.1094237467877974e-15,3.164135620181696e-15
f₂(x) = x^2,160,0.6666666666667118,0.6666666666666666,4.518607710224387e-14,6.777911565336581e-14
f₃(x) = (2x^2 - 1)^2,10,0.9333333333333316,0.9333333333333333,1.7763568394002505e-15,1.9032394707859826e-15
f₃(x) = (2x^2 - 1)^2,20,0.9333333333333331,0.9333333333333333,2.220446049250313e-16,2.379049338482478e-16
f₃(x) = (2x^2 - 1)^2,40,0.9333333333333343,0.9333333333333333,9.992007221626409e-16,1.0705722023171152e-15
f₃(x) = (2x^2 - 1)^2,80,0.9333333333333327,0.9333333333333333,6.661338147750939e-16,7.137148015447435e-16
f₃(x) = (2x^2 - 1)^2,160,0.9333333333331701,0.9333333333333333,1.63202784619898e-13,1.7486012637846216e-13
f₄(x) = sqrt(1 - x^2),10,1.5698985905990028,1.5707963267948966,0.000897736195893728,0.0005715166126760036
f₄(x) = sqrt(1 - x^2),20,1.5706867931150257,1.5707963267948966,0.00010953367987087681,6.973130634598112e-5
f₄(x) = sqrt(1 - x^2),40,1.5707602875684281,1.5707963267948966,3.603922646844282e-5,2.294328415064378e-5
f₄(x) = sqrt(1 - x^2),80,1.5732857838390792,1.5707963267948966,0.0024894570441826858,0.0015848375767864534
f₄(x) = sqrt(1 - x^2),160,1.5708755952401963,1.5707963267948966,7.926844529970722e-5,5.046385960263169e-5
